Series Name,Country Name,Country Code,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,"Congo, Rep.",COG,Sub-Saharan Africa,0.026968974,0.027207637,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301,0.027446301
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Cote d'Ivoire,CIV,Sub-Saharan Africa,6.168126095,6.291068301,6.414010508,6.536952715,6.659894921,6.782837128,6.594473633,6.401537264,6.210887332,6.023667056,5.83644678,5.649226503,5.464292664,5.275929169,5.087565674,5.087565674,5.087565674,5.087565674,5.087565674,5.087565674,5.087565674,5.087565674
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Croatia,HRV,Europe & Central Asia,1.23879,1.2671,1.275011116,1.360858794,1.34920282,1.368258909,1.410309344,1.447246395,1.47421076,1.533570476,1.518461539,1.477116496,1.45120498,1.398194753,1.289266341,1.380262339,1.415320142,1.502830147,1.486674077,1.493997332,1.462872388,1.47843486
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Cuba,CUB,Latin America & Caribbean,18.01592825,18.03198161,18.04941119,18.06684078,18.08427037,18.10169995,18.11912954,16.98365732,19.7414416,20.83743334,20.70858421,21.78622627,22.86386834,23.93944607,23.93944607,23.93944607,23.93944607,23.93944607,23.93944607,23.93944607,23.93944607,23.93944607
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Cyprus,CYP,Europe & Central Asia,22.00656096,20.49519644,23.33242209,23.15199563,22.97156916,22.7911427,22.61071624,22.43028978,21.93821761,25.1913614,27.46036085,30.18042646,34.8961181,28.26681247,29.66101695,31.71131766,29.79770366,29.52433024,28.29414981,27.61071624,31.57463095,32.1213778
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Czechia,CZE,Europe & Central Asia,32.57086375,30.79349148,29.01611922,29.20316302,29.39020681,29.57725061,29.7642944,29.9513382,30.23114355,29.60766423,29.66849148,28.69525547,27.986618,25.09580292,25.09124088,24.33090024,24.86009732,24.78710462,24.17883212,22.90145985,20.77250608,20.51399027
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Denmark,DNK,Europe & Central Asia,20.52568956,19.09734992,17.66901028,17.45087435,17.23273842,17.01460249,16.01676582,15.01892915,18.82098432,17.83937263,21.87398594,23.40995133,19.69983775,27.28501893,26.74959438,21.95240671,23.98580314,24.22385073,29.90310979,25.57041644,26.40427258,26.40427258
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Djibouti,DJI,Sub-Saharan Africa,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333,6.333333333
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Dominica,DMA,Latin America & Caribbean,8.3,8.3,8.3,8.3,8.3,8.583333333,8.866666667,9.15,9.433333333,9.716666667,10,10,10,10,10,10,10,10,10,10,10,10
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Dominican Republic,DOM,Latin America & Caribbean,26.96187098,27.61139437,28.26091776,28.91044114,29.55996453,30.20948792,32.07825316,33.9470184,35.81578364,37.68454888,39.55331412,39.55331412,39.55331412,39.55331412,39.55331412,39.55331412,39.55331412,39.55331412,39.55331412,39.55331412,39.55331412,39.55331412
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Ecuador,ECU,North America,6.406497948,6.481668947,6.556839945,6.632010944,6.707181943,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941,6.782352941
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,"Egypt, Arab Rep.",EGY,Middle East & North Africa,103.8797814,106.9344262,109.989071,113.0437158,116.0983607,119.1530055,122.2076503,125.2622951,128.3169399,131.3715847,134.4262295,130.5100182,131.6939891,132.9690346,110.564663,110.9289617,110.4735883,141.1657559,141.1657559,141.1657559,141.1657559,141.1657559
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,El Salvador,SLV,Latin America & Caribbean,8.582657517,9.508671241,10.43468497,11.36069869,12.28621335,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614,13.21272614
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Equatorial Guinea,GNQ,Sub-Saharan Africa,0.161260426,0.16570899,0.170157553,0.174606117,0.17905468,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244,0.183503244
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Eritrea,ERI,Sub-Saharan Africa,7.937788018,8.747119816,9.556451613,10.36578341,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521,11.17511521
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estonia,EST,Europe & Central Asia,15.12523191,15.21088435,15.2965368,16.20670996,17.11688312,18.02705628,18.93722944,19.8474026,17.35930736,14.91341991,19.93506494,20.28138528,17.65151515,18.91774892,18.61471861,17.4820632,18.95454545,19.31709957,17.40844156,10.89231602,9.231085498,10.81980133
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Eswatini,SWZ,Sub-Saharan Africa,75.67175018,76.04938272,76.42701525,76.80464779,77.18228032,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285,77.55991285
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Ethiopia,ETH,Sub-Saharan Africa,14.7898,15.8492,16.9969419,19.34464832,21.69235474,24.04006116,24.78707256,25.53514039,26.28268001,27.02810676,27.77511815,28.52212955,29.26914095,30.01615235,30.76316375,31.51017515,32.26299694,32.25718654,32.25718654,32.25718654,32.25718654,32.25718654
